"Agricultural methane emissions (% of total)","Agricultural nitrous oxide emissions (% of total)","Agriculture, forestry, and fishing, value added (current US$)","Changes in inventories (current US$)","CO2 emissions from electricity and heat production, total (% of total fuel combustion)","CO2 emissions from gaseous fuel consumption (% of total)","CO2 emissions from gaseous fuel consumption (kt)","CO2 emissions from liquid fuel consumption (% of total)","CO2 emissions from liquid fuel consumption (kt)","CO2 emissions from manufacturing industries and construction (% of total fuel combustion)","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)","CO2 emissions from solid fuel consumption (% of total)","CO2 emissions from solid fuel consumption (kt)","CO2 emissions from transport (% of total fuel combustion)","CO2 intensity (kg per kg of oil equivalent energy use)","Energy related methane emissions (% of total)","Exports of goods and services (current US$)","External balance on goods and services (current US$)","Final consumption expenditure (current US$)","GDP (current US$)","GDP per capita (current US$)","General government final consumption expenditure (current US$)","GNI (current US$)","Gross capital formation (current US$)","Gross domestic savings (current US$)","Gross fixed capital formation (current US$)","Gross national expenditure (current US$)","Gross savings (current US$)","Gross value added at basic prices (GVA) (current US$)","Households and NPISHs Final consumption expenditure (current US$)","Imports of goods and services (current US$)","Industry (including construction), value added (current US$)","Manufacturing, value added (current US$)","Net primary income (Net income from abroad) (current US$)","Net secondary income (Net current transfers from abroad) (current US$)","Nitrous oxide emissions in energy sector (% of total)","Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)","Services, value added (current US$)","Taxes less subsidies on products (current US$)","Year","Country"
"true","true",,,,"false","false","true","false",,,,"false","false",,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Afghanistan"
"true","true",,"false","false","false","false","false","false","true","true","false","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false",,,"false","true","false","false",,,"false","Albania"
"false","true",,"false","true","true","false","false","false","false","false","false","false","false","false","true","true","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false",,,"false","true","false","false",,,"false","Algeria"
"false","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","American Samoa"
,"false",,,,,,,,,,,,,,,,,,,"false","false",,,,,,,,,,,,,,,"false",,,,"false","Andorra"
"true","true",,"false","false","false","false","true","false","false","false","false","false","false","false","false","false",,,,"false","false",,"false","false",,"false",,,,,,,,"false",,"false","false",,,"false","Angola"
"true","true","false",,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,"false",,,"false","false","false","true","false","false","false","false","false","Antigua and Barbuda"
"true","true","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","Argentina"
"true","true",,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Armenia"
"false","false",,,,"false","false","true","false",,,,"false","false",,,"false",,,,"false","false",,"false",,,,,,,,,,,"false","true","false","false",,,"false","Aruba"
"true","true",,"false","true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","false","false","false","false","false","false","false","false","false",,,"false","false",,,"false","true","false","false",,,"false","Australia"
"true","true","false","false","false","false","false","true","false","false","false","true","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","false","true","false","false","false","false","false","Austria"
"false","true",,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,"false","false",,,"false","Azerbaijan"
"false","false","false","false",,"false","false","true","false",,,,"false","false",,,"false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false",,,"false",,"false","false","false","false","false","Bahamas, The"
"false","false","false","false","true","true","false","false","false","false","false","false","false","false","false","true","true","false","true","false","false","false","false","false","false","false","false","false","false",,"false","false","false","false","false","true","false","false",,,"false","Bahrain"
